username,forum_num_days,qz_mean,indicator,final_score
Y1050309,-0.668843770468,0.520184941219,0.0,0.0
Y1050310,-0.668843770468,0.520184941219,0.0,10.0
Y1050311,0.151639842707,-0.300298671956,0.0,20.0
Y1050312,-0.668843770468,0.520184941219,0.0,10.0
Y1050313,-0.258601963758,0.109943134508,0.0,30.0
Y1050314,-0.422698686491,0.274039857242,0.0,30.0
Y1050315,-0.504747047735,0.356088218485,0.0,20.0
Y1050316,-0.340650325247,0.191991495998,0.0,10.0
Y1050317,0.725978372151,-0.8746372014,0.0,55.0
Y1050318,0.31573656544,-0.46439539469,0.0,40.0
Y1050319,1.2182685401,-1.36692736935,1.0,76.0
Y1050320,-0.668843770468,0.520184941219,0.0,10.0
Y1050321,0.31573656544,-0.46439539469,0.0,20.0
Y1050322,8.51170014622,4.94192390085,1.0,99.0
Y1050323,1.62851034657,-1.77716917582,1.0,88.0
Y1050324,0.0695914814631,-0.218250310713,0.0,30.0
Y1050325,-0.0945052412703,-0.0541535879791,0.0,20.0
Y1050326,-0.258601963758,0.109943134508,0.0,20.0
Y1050327,-0.668843770468,0.520184941219,0.0,0.0
Y1050328,0.808026733394,-0.956685562644,1.0,71.0
Y1050329,0.397784926684,-0.546443755933,0.0,20.0
Y1050330,-0.422698686491,0.274039857242,0.0,10.0
Y1050331,-0.504747047735,0.356088218485,0.0,10.0
Y1050332,0.397784926684,-0.546443755933,0.0,40.0
Y1050333,-0.586795409225,0.438136579975,0.0,10.0
Y1050334,-0.668843770468,0.520184941219,0.0,20.0
Y1050335,-0.668843770468,0.520184941219,0.0,10.0
Y1050336,0.890075094638,-1.03873392389,0.0,50.0
Y1050337,-0.668843770468,0.520184941219,0.0,10.0
Y1050338,-0.668843770468,0.520184941219,0.0,10.0
Y1050339,-0.668843770468,0.520184941219,0.0,20.0
Y1050340,-0.668843770468,0.520184941219,0.0,10.0
Y1050341,0.0695914814631,-0.218250310713,0.0,20.0
Y1050342,0.561881649417,-0.710540478667,0.0,50.0
Y1050343,-0.668843770468,0.520184941219,0.0,0.0
Y1050344,0.643930010661,-0.79258883991,0.0,40.0
Y1050345,-0.504747047735,0.356088218485,0.0,10.0
Y1050346,0.0695914814631,-0.218250310713,0.0,50.0
Y1050347,-0.0124568797805,-0.136201949469,0.0,20.0
Y1050348,-0.668843770468,0.520184941219,0.0,10.0
Y1050349,0.233688204197,-0.382347033446,1.0,65.0
Y1050350,-0.668843770468,0.520184941219,0.0,10.0
Y1050351,0.890075094638,-1.03873392389,1.0,70.0
Y1050352,0.972123456128,-1.12078228538,1.0,80.0
Y1050353,0.397784926684,-0.546443755933,0.0,50.0
Y1050354,0.725978372151,-0.8746372014,0.0,50.0
Y1050355,-0.504747047735,0.356088218485,0.0,10.0
Y1050356,-0.0124568797805,-0.136201949469,0.0,30.0
Y1050357,-0.504747047735,0.356088218485,0.0,20.0
Y1050358,0.233688204197,-0.382347033446,0.0,50.0
Y1050359,-0.668843770468,0.520184941219,0.0,20.0
Y1050360,-0.340650325247,0.191991495998,0.0,30.0
Y1050361,-0.0124568797805,-0.136201949469,0.0,30.0
Y1050362,1.05417181737,-1.20283064662,1.0,80.0
Y1050363,-0.668843770468,0.520184941219,0.0,0.0
Y1050364,1.2182685401,-1.36692736935,1.0,72.0
Y1050365,1.62851034657,-1.77716917582,1.0,96.0
Y1050366,-0.668843770468,0.520184941219,0.0,10.0
Y1050367,1.62851034657,-1.77716917582,1.0,90.0
Y1050368,-0.668843770468,0.520184941219,0.0,20.0
Y1050369,-0.668843770468,0.520184941219,0.0,10.0
Y1050370,-0.422698686491,0.274039857242,0.0,20.0
Y1050371,0.31573656544,-0.46439539469,0.0,40.0
Y1050372,0.479833288174,-0.628492117423,0.0,50.0
Y1050373,-0.504747047735,0.356088218485,0.0,20.0
Y1050374,-0.0124568797805,-0.136201949469,0.0,30.0
Y1050375,-0.176553602514,0.0278947732646,0.0,30.0
Y1050376,1.54646198533,-1.69512081458,1.0,90.0
Y1050377,0.397784926684,-0.546443755933,0.0,40.0
Y1050378,1.62851034657,-1.77716917582,1.0,93.0
Y1050379,1.38236526259,-1.53102409184,1.0,60.0
Y1050380,1.2182685401,-1.36692736935,1.0,80.0
Y1050381,0.808026733394,-0.956685562644,0.0,55.0
Y1050382,-0.504747047735,0.356088218485,0.0,20.0
Y1050383,-0.504747047735,0.356088218485,0.0,10.0
Y1050384,-0.258601963758,0.109943134508,0.0,30.0
Y1050385,1.2182685401,-1.36692736935,0.0,40.0
Y1050386,0.0695914814631,-0.218250310713,0.0,30.0
Y1050387,-0.504747047735,0.356088218485,0.0,10.0
Y1050388,-0.0945052412703,-0.0541535879791,0.0,20.0
Y1050389,-0.668843770468,0.520184941219,0.0,0.0
Y1050390,-0.504747047735,0.356088218485,0.0,10.0
Y1050391,-0.504747047735,0.356088218485,0.0,10.0
Y1050392,-0.0124568797805,-0.136201949469,0.0,20.0
Y1050393,-0.668843770468,0.520184941219,0.0,0.0
Y1050394,-0.668843770468,0.520184941219,0.0,20.0
Y1050395,-0.504747047735,0.356088218485,0.0,10.0
Y1050396,-0.504747047735,0.356088218485,0.0,20.0
Y1050397,-0.504747047735,0.356088218485,0.0,20.0
Y1050398,-0.668843770468,0.520184941219,0.0,0.0
Y1050399,-0.668843770468,0.520184941219,0.0,0.0
Y1050400,-0.668843770468,0.520184941219,0.0,20.0
Y1050401,-0.668843770468,0.520184941219,0.0,10.0
Y1050402,-0.668843770468,0.520184941219,0.0,0.0
Y1050403,-0.504747047735,0.356088218485,0.0,20.0
Y1050404,-0.668843770468,0.520184941219,0.0,10.0
Y1050405,-0.504747047735,0.356088218485,0.0,10.0
Y1050406,-0.504747047735,0.356088218485,0.0,10.0
Y1050407,-0.0945052412703,-0.0541535879791,0.0,10.0
Y1050408,-0.504747047735,0.356088218485,0.0,10.0
Y1050409,-0.668843770468,0.520184941219,0.0,10.0
Y1050410,-0.504747047735,0.356088218485,0.0,20.0
Y1050411,-0.668843770468,0.520184941219,0.0,10.0
Y1050412,0.479833288174,-0.628492117423,0.0,30.0
Y1050413,0.397784926684,-0.546443755933,1.0,60.0
Y1050414,0.561881649417,-0.710540478667,0.0,53.0
Y1050415,-0.0945052412703,-0.0541535879791,0.0,30.0
Y1050416,1.13622017862,-1.28487900786,1.0,63.0
Y1050417,1.05417181737,-1.20283064662,1.0,62.0
Y1050418,-0.422698686491,0.274039857242,0.0,20.0
Y1050419,-0.586795409225,0.438136579975,0.0,10.0
Y1050420,0.972123456128,-1.12078228538,1.0,75.0
Y1050421,-0.0124568797805,-0.136201949469,1.0,60.0
Y1050422,0.479833288174,-0.628492117423,0.0,40.0
Y1050423,-0.422698686491,0.274039857242,0.0,10.0
Y1050424,-0.340650325247,0.191991495998,0.0,30.0
Y1050425,-0.668843770468,0.520184941219,0.0,10.0
Y1050426,0.808026733394,-0.956685562644,0.0,40.0
Y1050427,1.71055870806,-1.85921753731,1.0,96.0
Y1050428,-0.668843770468,0.520184941219,0.0,20.0
Y1050429,-0.668843770468,0.520184941219,0.0,10.0
Y1050430,-0.668843770468,0.520184941219,0.0,0.0
Y1050431,-0.668843770468,0.520184941219,0.0,0.0
Y1050432,-0.668843770468,0.520184941219,0.0,0.0
Y1050433,-0.668843770468,0.520184941219,0.0,0.0
Y1050434,-0.668843770468,0.520184941219,0.0,20.0
Y1050435,-0.668843770468,0.520184941219,0.0,10.0
Y1050436,-0.668843770468,0.520184941219,0.0,10.0
Y1050437,-0.668843770468,0.520184941219,0.0,0.0
Y1050438,-0.258601963758,0.109943134508,0.0,10.0
Y1050439,-0.668843770468,0.520184941219,0.0,10.0
Y1050440,-0.668843770468,0.520184941219,0.0,10.0
Y1050441,-0.668843770468,0.520184941219,0.0,0.0
Y1050442,-0.668843770468,0.520184941219,0.0,10.0
Y1050443,-0.668843770468,0.520184941219,0.0,0.0
Y1050444,-0.668843770468,0.520184941219,0.0,10.0
Y1050445,0.0695914814631,-0.218250310713,0.0,20.0
Y1050446,-0.668843770468,0.520184941219,0.0,0.0
Y1050447,-0.668843770468,0.520184941219,0.0,10.0
Y1050448,-0.504747047735,0.356088218485,0.0,20.0
Y1050449,0.31573656544,-0.46439539469,0.0,20.0
Y1050450,-0.504747047735,0.356088218485,0.0,10.0
Y1050451,-0.668843770468,0.520184941219,0.0,0.0
Y1050452,0.972123456128,-1.12078228538,0.0,40.0
Y1050453,-0.340650325247,0.191991495998,0.0,20.0
Y1050454,1.71055870806,-1.85921753731,1.0,90.0
Y9999984,0.890075094638,-1.03873392389,1.0,66.0
Y9999985,1.38236526259,-1.53102409184,0.0,59.0
