username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050284,3.0,105.0,315.0,0.5,10.5,10.5,3.0,7.833333331,23.5,5.5,1.0,4.5,0.14285714300000002,7.472271495,2.0,1.0,0.14285714300000002,5.5,1.0,0.5,0.071428572,2.0,0.28571428600000004,3.0,0.428571429,8.0,1.196428572,1.5,0.214285715,0.0,0.0,10.0,1.482142857,4.5,0.642857143,14.5,2.125,14.5,2.339285715,0.5,0.071428572,20.0,3.125,49.5,7.660714285,0.0,0.0,0.0,0.0,0.0,7.0,0,30
Y1050286,4.0,247.93333340000004,1066.0,2.0,32.5,65.0,3.5,47.20833334,180.0,11.5,10.5,1.0,0.933333333,6.234316115,2.0,8.0,0.620833334,11.5,1.0,1.5,0.158333334,20.0,1.4791666669999999,17.5,1.254166667,72.0,5.441666667000001,13.5,1.075,1.0,0.095833333,92.0,6.920833335,32.0,2.425,124.0,9.345833335,96.0,7.420833335,1.5,0.158333334,136.0,10.37916667,357.5,27.30416667,2.0,2.0,1.5,2.0,4.58375,9.0,0,72
Y1050287,3.5,186.79166669999998,651.5,1.5,21.5,35.5,3.0,26.75,86.5,10.0,8.0,2.0,0.846153846,6.94377274,2.0,6.0,0.560439561,9.0,0.89010989,3.5,0.335164836,10.0,0.8351648359999999,11.5,1.016483517,29.0,2.923076923,4.0,0.34065934,2.0,0.153846154,39.0,3.7582417589999997,17.5,1.510989011,56.5,5.269230769,40.0,4.0,4.0,0.373626374,67.0,6.34065934,167.5,15.98351649,0.0,0.0,0.0,0.0,0.0,9.0,0,50
Y1050289,4.5,620.9,2737.0,2.5,35.16666667,83.5,4.0,163.9,603.5,24.5,20.0,4.5,0.8191666670000001,6.562516604,1.0,24.0,0.979166667,24.0,0.98,7.5,0.309166667,86.5,3.5258333339999997,214.5,8.745,176.0,7.173333334,70.5,2.876666667,2.0,0.08333333400000001,262.5,10.69916667,287.0,11.705,549.5,22.40416667,263.0,10.72333334,7.5,0.309166667,574.0,23.40416667,1394.0,56.84083334,0.0,0.0,0.0,0.0,2.25,6.0,1,60
Y1050291,1.0,245.5,491.0,0.5,56.5,56.5,0.5,16.5,16.5,5.0,4.0,1.0,0.4,3.033438255,2.0,1.5,0.15,4.0,0.4,1.0,0.1,4.5,0.45,1.5,0.15,1.5,0.15,1.5,0.15,0.0,0.0,6.0,0.6,3.0,0.3,9.0,0.9,6.0,0.6,1.0,0.1,14.0,1.4,30.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0,40
Y1050292,5.0,221.625,1209.0,3.5,35.5,146.0,4.0,19.86666667,92.0,9.0,3.5,5.5,0.4125,11.22911316,1.0,5.0,0.525,8.0,0.8875,0.5,0.0625,49.5,4.95,10.5,1.075,12.0,1.3,3.0,0.3375,0.0,0.0,61.5,6.25,13.5,1.4125,75.0,7.6625,22.5,2.475,0.5,0.0625,84.0,8.6625,182.0,18.8625,3.0,3.0,2.5,3.0,7.83375,6.0,0,50
Y1050293,3.5,285.125,955.0,3.0,29.75,78.0,3.0,42.0,101.5,13.5,13.0,0.5,0.964285715,12.82498378,1.5,3.0,0.225274726,13.5,1.0,4.5,0.332417583,2.0,0.145604395,4.0,0.29395604399999997,69.0,5.217032967,4.0,0.302197803,0.5,0.038461538999999996,71.0,5.362637363,8.5,0.634615385,79.5,5.997252747,82.0,6.186813187,5.0,0.37087912100000003,93.0,6.997252747,259.5,19.552197800000002,3.0,3.0,1.0,3.0,7.8225,10.0,1,80
Y1050294,3.0,212.125,625.0,2.5,22.25,57.0,2.5,16.91666667,40.5,10.0,9.5,0.5,0.961538462,10.37414365,4.5,3.0,0.362637363,8.5,0.851648352,3.0,0.296703297,3.0,0.395604396,6.0,0.725274725,9.5,1.0934065929999999,7.0,0.703296703,1.5,0.18131868199999998,12.5,1.489010989,14.5,1.60989011,27.0,3.098901099,23.5,2.5,3.5,0.368131869,37.0,4.098901099,91.0,10.06593407,0.0,0.0,0.0,0.0,0.0,7.0,0,40
Y1050295,2.0,286.625,1146.5,2.0,33.25,133.0,1.5,15.0,45.0,11.0,4.5,6.5,0.204545455,5.83484871,2.0,9.0,0.409090909,6.5,0.29545454600000004,2.0,0.090909091,9.5,0.43181818200000005,4.0,0.181818182,6.0,0.272727273,7.5,0.340909091,0.0,0.0,15.5,0.704545455,11.5,0.522727273,27.0,1.227272728,16.5,0.75,2.0,0.090909091,38.0,1.7272727280000002,83.5,3.795454546,0.5,0.5,0.5,0.5,1.0,5.0,0,30
Y1050296,1.5,31.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,1.5,3.75,4.0,0,20
Y1050297,1.5,11.0,16.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,6.971277085,1.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
Y1050298,1.0,293.5,293.5,1.0,28.5,28.5,1.0,21.5,21.5,4.0,2.5,1.5,0.625,7.587434859,6.0,2.0,0.5,4.0,1.0,0.5,0.125,6.5,1.625,2.0,0.5,6.0,1.5,1.5,0.375,0.0,0.0,12.5,3.125,3.5,0.875,16.0,4.0,11.0,2.75,0.5,0.125,20.0,5.0,47.5,11.875,0.0,0.0,0.0,0.0,0.0,6.0,0,10
Y1050299,1.0,187.75,375.5,0.5,34.0,34.0,0.5,43.0,43.0,3.0,2.0,1.0,0.333333334,5.66056063,2.0,2.5,0.41666666700000005,2.5,0.41666666700000005,0.0,0.0,15.0,2.5,8.5,1.4166666669999999,6.0,1.0,1.5,0.25,0.0,0.0,21.0,3.5,10.0,1.6666666669999999,31.0,5.166666665,9.5,1.583333334,0.0,0.0,34.0,5.666666665,74.5,12.41666667,0.0,0.0,0.0,0.0,0.0,2.0,0,10
Y1050300,2.5,171.5,411.0,1.0,51.5,51.5,1.0,16.5,16.5,1.5,1.0,0.5,0.5,6.943978477000001,4.0,1.5,1.0,1.5,1.0,0.5,0.25,9.5,5.0,2.0,1.25,1.0,0.5,1.0,0.5,0.0,0.0,10.5,5.5,3.0,1.75,13.5,7.25,3.0,1.75,0.5,0.25,15.0,8.25,32.0,17.5,0.0,0.0,0.0,0.0,0.0,6.0,0,10
Y1050301,2.0,351.6666667,800.0,2.0,29.16666667,71.5,2.0,39.0,91.0,8.5,8.0,0.5,0.961538462,13.20463147,3.5,5.0,0.644230769,6.5,0.846153846,1.0,0.076923077,53.5,4.894230769,8.0,0.788461538,8.0,1.048076923,3.5,0.528846154,0.0,0.0,61.5,5.942307692999999,11.5,1.317307693,73.0,7.259615385,17.0,2.346153846,1.0,0.076923077,81.5,8.259615385,172.5,17.94230769,1.5,1.5,0.5,1.5,3.75,0.0,0,10
Y1050302,4.0,251.03333340000003,842.5,3.5,24.0,78.0,3.0,23.5,70.5,14.0,9.0,5.0,0.611111111,11.18540582,2.0,5.0,0.322222222,12.0,0.844444445,1.0,0.1,10.5,0.672222222,14.5,0.827777778,19.0,1.144444445,5.0,0.3,0.5,0.05,29.5,1.8166666669999998,20.0,1.177777778,49.5,2.994444445,36.0,2.288888889,1.0,0.1,63.5,3.994444445,150.0,9.37777778,1.5,1.5,1.0,1.5,6.125,0.0,0,10
Y1050303,3.0,301.33333339999996,904.0,1.5,44.75,57.5,2.5,58.16666665,168.0,7.5,5.5,2.0,0.7,5.010304165,3.0,7.0,0.9,6.5,0.9,1.0,0.1,92.0,9.55,23.5,2.6,25.0,2.85,3.5,0.4,1.0,0.1,117.0,12.4,28.0,3.1,145.0,15.5,33.5,4.0,1.0,0.1,152.5,16.5,332.0,36.1,1.5,1.5,0.5,1.5,4.70875,7.0,0,20
Y1050304,2.0,275.6666667,693.0,1.5,37.5,68.5,2.0,26.0,65.0,9.5,5.5,4.0,0.47916666700000005,11.4412412,1.5,2.5,0.15625,9.5,1.0,2.0,0.125,19.0,1.1875,6.0,0.375,19.5,2.4375,5.5,0.47916666700000005,0.0,0.0,38.5,3.625,11.5,0.854166667,50.0,4.479166666,32.5,3.791666667,2.0,0.125,59.5,5.479166666,144.0,13.875,0.0,0.0,0.0,0.0,0.0,3.0,0,10
Y1050305,5.0,223.6,1118.0,3.5,31.5,102.0,4.0,18.375,73.5,15.0,9.0,6.0,0.523809524,13.78161281,1.5,6.5,0.404761905,14.5,0.976190476,3.5,0.198412699,8.5,0.6269841270000001,8.5,0.5,29.5,1.7539682540000001,6.0,0.444444445,0.5,0.023809524,38.0,2.3809523809999997,15.0,0.968253968,53.0,3.3492063489999997,47.0,3.0,3.5,0.198412699,68.0,4.34920635,171.5,10.8968254,1.5,1.5,0.5,1.5,5.375,7.0,0,20
Y1050306,3.5,172.33333330000002,711.5,2.5,22.0,74.5,1.5,11.5,17.5,3.0,0.5,2.5,0.1,6.544039821,3.0,2.0,0.8,2.0,0.4,0.0,0.0,5.0,2.6,0.0,0.0,3.0,0.6,0.0,0.0,0.0,0.0,8.0,3.2,0.0,0.0,8.0,3.2,4.5,0.9,0.0,0.0,11.0,4.2,23.5,8.3,3.0,3.0,2.5,3.0,6.21875,0.0,0,10
Y1050307,1.5,189.0,353.5,1.0,18.5,37.0,1.5,13.25,23.5,5.0,3.0,2.0,0.523809524,7.281839248,2.0,2.0,0.380952381,4.0,0.761904762,0.5,0.071428572,8.5,1.404761905,1.0,0.14285714300000002,6.0,0.857142857,0.0,0.0,0.0,0.0,14.5,2.261904762,1.0,0.14285714300000002,15.5,2.404761905,10.0,1.619047619,0.5,0.071428572,20.5,3.404761905,46.5,7.5,1.5,1.5,0.5,1.5,3.54125,0.0,0,10
Y1050308,4.5,275.575,1332.0,3.5,20.79166667,78.5,3.5,72.29166667,281.5,12.0,8.0,4.0,0.568421053,8.151434447,2.0,7.5,0.615789474,12.0,1.0,0.5,0.02631579,89.5,5.22631579,54.0,3.136842106,83.0,5.1052631580000005,18.0,1.6105263159999998,0.0,0.0,172.5,10.33157895,72.0,4.747368421,244.5,15.07894737,112.0,7.663157895,0.5,0.02631579,256.5,16.07894737,613.5,38.84736842,1.5,1.5,0.5,1.5,4.21875,0.0,0,10
Y1050310,2.0,162.83333330000002,306.5,2.0,15.5,29.5,1.5,10.5,15.5,5.5,3.5,2.0,0.660714286,6.772849937999999,1.0,2.0,0.339285715,4.5,0.8035714290000001,1.0,0.19642857100000002,0.0,0.0,3.5,0.660714286,3.0,0.48214285700000004,1.5,0.32142857199999997,0.0,0.0,3.0,0.48214285700000004,5.0,0.982142857,8.0,1.464285715,8.5,1.535714286,1.0,0.19642857100000002,13.5,2.464285715,31.0,5.660714285,0.0,0.0,0.0,0.0,0.0,5.0,0,10
Y1050311,5.0,502.83333339999996,2438.0,4.5,35.825,158.0,4.5,60.25,273.5,24.5,12.0,12.5,0.48653198700000005,1.2458353770000001,1.0,22.0,0.907407408,20.5,0.835016835,2.0,0.078282828,90.0,3.77946128,37.5,1.531986532,79.0,3.388888889,19.5,0.827441078,0.5,0.022727273,169.0,7.168350169,57.5,2.382154882,226.5,9.550505053,109.0,4.634680135,2.0,0.078282828,251.0,10.55050505,588.5,24.81397307,0.5,0.5,0.5,0.5,0.6875,4.0,0,20
Y1050312,1.0,104.75,209.5,0.5,13.0,13.0,0.5,16.0,16.0,5.0,1.0,4.0,0.1,5.302533665,3.5,4.0,0.4,4.5,0.45,0.0,0.0,4.5,0.45,0.5,0.05,4.5,0.45,0.0,0.0,0.0,0.0,9.0,0.9,0.5,0.05,9.5,0.95,6.0,0.6,0.0,0.0,14.5,1.45,30.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0,10
Y1050313,1.0,133.0,133.0,0.5,2.5,2.5,1.0,14.0,14.0,2.5,1.0,1.5,0.333333334,7.443598702,4.0,1.0,0.41666666700000005,2.5,1.0,0.0,0.0,1.5,0.75,1.5,0.5,2.5,1.083333334,0.0,0.0,0.0,0.0,4.0,1.833333334,1.5,0.5,5.5,2.333333334,5.0,2.083333334,0.0,0.0,8.0,3.3333333339999998,18.5,7.75,1.5,1.5,1.0,1.5,3.5,4.0,0,30
Y1050314,2.0,851.25,1702.5,1.5,135.25,190.0,2.0,64.0,128.0,20.0,15.0,5.0,0.757575758,10.53348677,2.0,12.0,0.621212121,16.5,0.8156565659999999,4.5,0.224747475,22.5,1.194444445,16.0,0.833333333,29.0,1.368686869,9.5,0.477272728,1.0,0.045454546,51.5,2.563131313,26.5,1.356060606,78.0,3.9191919189999997,52.0,2.505050506,4.5,0.224747475,98.0,4.919191919,232.5,11.56818182,2.5,2.5,2.0,2.5,3.875,3.5,0,30
Y1050315,3.0,887.125,2473.5,2.5,47.16666667,125.0,3.0,212.0,547.5,22.0,17.0,5.0,0.7875,11.41941814,2.0,20.0,0.9125,22.0,1.0,1.0,0.05,213.5,9.8375,72.0,3.404166666,162.0,7.5541666670000005,21.5,0.995833333,0.5,0.025,375.5,17.39166667,94.0,4.425,469.5,21.81666667,202.0,9.391666666,1.0,0.05,491.5,22.81666667,1164.0,54.075,1.5,1.5,1.0,1.5,4.14625,6.0,0,20
Y1050316,3.5,491.16666669999995,1614.5,2.0,102.75,205.5,2.5,28.5,74.0,12.5,12.5,0.0,1.0,11.22889881,1.0,3.5,0.272435898,11.5,0.919871795,3.5,0.275641026,6.0,0.46153846200000004,12.5,0.9839743590000001,32.0,2.544871795,4.0,0.310897436,1.0,0.076923077,38.0,3.006410256,17.5,1.371794872,55.5,4.378205128,46.0,3.657051282,3.5,0.275641026,68.0,5.378205127999999,173.0,13.68910256,2.0,2.0,1.0,2.0,2.25,3.0,0,10
Y1050317,3.5,506.83333339999996,1704.0,3.5,40.20833334,137.5,3.5,45.54166667,152.0,20.5,13.5,7.0,0.656698565,6.123030461,2.0,8.5,0.41148325399999996,20.5,1.0,1.0,0.049043062000000005,11.0,0.535885167,28.0,1.373205742,66.5,3.177033493,16.0,0.766746412,0.5,0.022727273,77.5,3.71291866,44.5,2.162679426,122.0,5.875598086,101.5,4.8684210530000005,1.0,0.049043062000000005,142.5,6.875598086,367.0,17.66866029,3.0,3.0,1.5,3.0,6.125,6.0,0,55
Y1050318,5.0,344.6,1723.0,3.5,28.25,88.5,4.0,62.0,222.0,19.5,18.0,1.5,0.916666667,7.632430396,1.0,16.0,0.813492063,19.5,1.0,5.5,0.26984127,15.0,0.761904762,79.5,4.067460317,73.0,3.690476191,22.0,1.107142857,1.0,0.047619048,88.0,4.4523809530000005,102.5,5.222222223,190.5,9.674603172000001,109.0,5.527777778,5.5,0.26984127,210.0,10.67460317,515.0,26.146825399999997,3.0,3.0,2.5,3.0,5.0,7.0,0,40
Y1050319,1.5,825.75,947.5,1.5,66.5,77.5,1.5,95.5,103.0,17.0,13.0,4.0,0.84,10.52417504,4.5,7.5,0.40666666700000004,15.5,0.94,2.5,0.135555556,40.0,1.7422222219999999,5.0,0.30666666600000003,22.0,1.2,7.0,0.42222222200000004,0.5,0.02,62.0,2.942222222,12.5,0.7488888890000001,74.5,3.691111111,42.0,2.4266666669999997,2.5,0.135555556,91.5,4.6911111110000006,210.5,10.94444444,0.0,0.0,0.0,0.0,2.25,7.0,1,76
Y1050320,4.5,173.21428569999998,460.0,1.0,42.0,42.0,1.0,52.0,52.0,8.5,7.0,1.5,0.825757576,9.652623182000001,3.5,4.0,0.477272728,8.0,0.916666667,1.5,0.174242425,26.5,2.712121212,6.0,0.696969697,4.0,0.40151515200000004,0.5,0.045454546,0.5,0.045454546,30.5,3.1136363639999995,7.0,0.787878788,37.5,3.901515152,11.0,1.1893939390000001,1.5,0.174242425,46.0,4.901515152,96.0,10.16666667,0.0,0.0,0.0,0.0,0.0,6.0,0,10
Y1050321,0.5,134.0,134.0,0.5,14.5,14.5,0.5,7.0,7.0,2.5,1.5,1.0,0.3,6.885432615,0.5,0.5,0.1,2.5,0.5,0.0,0.0,2.5,0.5,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,3.0,0.6,0.0,0.0,3.0,0.6,3.0,0.6,0.0,0.0,5.5,1.1,11.5,2.3,0.0,0.0,0.0,0.0,0.0,6.0,0,20
Y1050322,6.0,177.1571429,1057.5,2.5,6.0,30.0,5.5,35.46428572,169.5,16.5,12.5,4.0,0.7666666670000001,13.11937513,1.0,8.0,0.483333334,16.0,0.9722222220000001,4.5,0.26666666699999997,6.0,0.355555555,26.0,1.5555555559999998,98.5,6.294444445,16.5,1.011111111,0.0,0.0,104.5,6.649999997999999,42.5,2.566666667,147.0,9.216666667,126.5,8.005555553999999,4.5,0.26666666699999997,163.5,10.21666667,441.5,27.70555556,3.0,3.0,2.5,3.0,9.125,10.0,1,99
Y1050323,6.5,282.0476191,1835.0,5.5,26.26785715,140.0,6.5,33.83333334,223.5,19.5,17.5,2.0,0.8968253970000001,13.4275035,1.0,12.5,0.642857143,19.0,0.976190476,2.5,0.126984127,22.0,1.107142857,90.0,4.551587302,52.5,2.6031746030000003,15.5,0.78968254,0.5,0.023809524,74.5,3.7103174610000003,106.0,5.365079365,180.5,9.075396826,84.5,4.2380952380000005,2.5,0.126984127,200.0,10.07539683,467.5,23.51587302,3.0,3.0,3.0,3.0,9.34375,10.0,1,88
Y1050324,2.5,500.41666669999995,1184.5,1.5,41.25,46.0,2.0,132.75,265.5,17.5,11.5,6.0,0.642857143,9.177678459,3.5,15.0,0.857142857,17.5,1.0,0.5,0.023809524,129.0,7.547619048,58.0,3.642857143,41.0,2.440476191,13.5,0.8095238090000001,1.0,0.047619048,170.0,9.98809524,72.5,4.5,242.5,14.48809524,71.5,4.214285714,1.0,0.047619048,260.0,15.48809524,575.0,34.23809524,1.5,1.5,1.0,1.5,5.58375,7.0,0,30
Y1050325,4.0,387.4,1553.0,2.5,52.08333334,130.5,2.5,50.0,111.0,14.0,8.0,6.0,0.5111111110000001,10.59028008,2.5,10.5,0.761111111,13.0,0.9,2.5,0.13888888900000002,10.5,0.783333333,14.0,1.066666667,34.5,2.227777778,10.5,0.716666667,1.5,0.08333333400000001,45.0,3.0111111110000004,26.0,1.8666666669999998,71.0,4.8777777780000005,53.0,3.477777778,2.5,0.13888888900000002,85.0,5.877777778,211.5,14.37222222,1.5,1.5,1.0,1.5,4.4275,3.5,0,20
Y1050326,2.0,390.5,705.5,2.0,42.5,78.5,2.0,29.83333334,51.5,7.5,6.0,1.5,0.704545455,6.922063893,4.0,4.0,0.602272727,7.5,1.0,1.5,0.21590909100000003,10.5,1.3522727280000002,7.5,1.238636364,8.0,1.4431818180000002,7.5,1.0,0.5,0.045454546,18.5,2.795454546,15.5,2.284090909,34.0,5.079545455,20.5,3.0568181819999998,1.5,0.21590909100000003,41.5,6.079545455,97.5,14.43181818,0.0,0.0,0.0,0.0,0.0,5.0,0,20
Y1050328,6.0,376.2857143,2608.0,3.0,25.58333334,153.5,3.5,114.6,552.0,21.0,19.0,2.0,0.951219512,9.582250388,1.5,20.5,0.9878048779999999,20.5,0.9878048779999999,1.0,0.024390244,326.5,10.8902439,30.5,1.2317073170000001,117.0,10.17073171,25.5,2.573170732,1.0,0.024390244,443.5,21.06097561,57.0,3.829268293,500.5,24.890243899999998,160.5,13.67073171,1.0,0.024390244,521.5,25.890243899999998,1183.5,64.47560976,3.0,3.0,1.5,3.0,10.0,6.5,1,71
Y1050329,4.0,212.2,861.0,2.5,49.25,115.5,1.0,21.0,42.0,3.5,0.5,3.0,0.071428572,7.51578948,1.0,3.0,0.428571429,1.5,0.214285715,0.0,0.0,21.0,3.0,9.5,1.357142857,3.0,0.428571429,1.0,0.14285714300000002,0.0,0.0,24.0,3.428571429,10.5,1.5,34.5,4.928571429,5.0,0.714285715,0.0,0.0,38.0,5.42857143,77.5,11.07142857,1.5,1.5,0.5,1.5,3.125,2.5,0,20
Y1050330,3.5,220.4,901.0,3.0,31.125,106.5,3.0,12.75,43.0,14.0,12.5,1.5,0.9375,13.86310371,1.5,3.0,0.22916666600000002,9.5,0.708333333,3.5,0.25,1.5,0.0625,4.0,0.47916666700000005,13.0,1.166666667,1.5,0.166666667,0.0,0.0,14.5,1.229166667,5.5,0.645833333,20.0,1.875,24.0,2.041666667,3.5,0.25,34.0,2.875,81.5,7.041666666,0.0,0.0,0.0,0.0,0.0,5.0,0,10
Y1050331,3.0,91.33333335,274.0,2.0,14.0,28.0,1.5,15.5,18.0,3.0,0.5,2.5,0.166666667,13.64699042,2.0,1.0,0.333333334,2.5,0.833333333,0.5,0.166666667,6.5,2.166666667,2.0,0.666666667,2.0,0.666666667,0.0,0.0,0.0,0.0,8.5,2.8333333339999998,2.0,0.666666667,10.5,3.5,4.5,1.5,0.5,0.166666667,13.5,4.5,29.0,9.666666665,0.5,0.5,0.5,0.5,1.0,3.5,0,10
